#t	fxm	fym	fzm	fzp
  2.3263259306	  0.7158499025	  0.0000000000	  0.2155537146	  0.0000000000
  2.3333754031	  0.9087931270	  0.0000000000	  0.2454334229	  0.0000000000
  2.3404248756	  0.9608757784	  0.0000000000	  0.2748316985	  0.0000000000
  2.3474743482	  0.8676155270	  0.3937196338	  0.3036908747	  0.0000000000
  2.3545238207	  0.6469627927	  0.6864732036	  0.3319543425	  0.0000000000
  2.3615732932	  0.3356715527	  0.8706528727	  0.3595666614	  0.0000000000
  2.3686227657	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.3756722382	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.3827217107	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.3897711833	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.3968206558	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.4038701283	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.4109196008	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.4179690733	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.4250185459	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.4320680184	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.4391174909	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.4461669634	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
  2.4532164359	  0.0000000000	  0.0000000000	  0.0000000000	  0.0000000000
